MeSH Term,Score,Total Theme Term Publication,Total Theme Publication,Total Term Publication,Total Publication
Cytochrome P-450 CYP2D6 Inhibitors,0.21606118546845124,1,226,1,1046
Hypotension,0.21606118546845124,1,226,1,1046
Sulfasalazine,0.21606118546845124,1,226,1,1046
"Clinical Trials, Phase III as Topic",0.21606118546845124,1,226,1,1046
Task Performance and Analysis,0.21606118546845124,1,226,1,1046
"Receptors, Estrogen",0.21606118546845124,1,226,1,1046
Neuromuscular Agents,0.21606118546845124,1,226,1,1046
1-Naphthylamine,0.21606118546845124,1,226,1,1046
Consensus Sequence,0.21606118546845124,1,226,1,1046
"Enhancer Elements, Genetic",0.21606118546845124,1,226,1,1046
Geographic Mapping,0.21606118546845124,1,226,1,1046
Reoperation,0.21606118546845124,1,226,1,1046
Kidney Cortex,0.21606118546845124,1,226,1,1046
Preoperative Care,0.21606118546845124,1,226,1,1046
Parvovirinae,0.21606118546845124,1,226,1,1046
Child Care,0.21606118546845124,1,226,1,1046
Herpes Zoster,0.21606118546845124,1,226,1,1046
Adrenergic beta-2 Receptor Agonists,0.21606118546845124,1,226,1,1046
Neurofibromin 1,0.21606118546845124,1,226,1,1046
Sulfanilamides,0.21606118546845124,1,226,1,1046
Bedding and Linens,0.21606118546845124,1,226,1,1046
"Injections, Intravenous",0.21606118546845124,1,226,1,1046
"Administration, Inhalation",0.21606118546845124,1,226,1,1046
Arm Injuries,0.21606118546845124,1,226,1,1046
Laryngeal Masks,0.21606118546845124,1,226,1,1046
Public Relations,0.21606118546845124,1,226,1,1046
Meaningful Use,0.21606118546845124,1,226,1,1046
"Hepatitis, Viral, Human",0.21606118546845124,1,226,1,1046
Laparotomy,0.21606118546845124,1,226,1,1046
Emergency Medical Technicians,0.21606118546845124,1,226,1,1046
Peroxisomal Disorders,0.21606118546845124,1,226,1,1046
Erythroid-Specific DNA-Binding Factors,0.21606118546845124,1,226,1,1046
"Microscopy, Video",0.21606118546845124,1,226,1,1046
Heart Septal Defects,0.21606118546845124,1,226,1,1046
Thiophenes,0.21606118546845124,1,226,1,1046
Anti-Asthmatic Agents,0.21606118546845124,1,226,1,1046
Glycols,0.21606118546845124,1,226,1,1046
Croup,0.21606118546845124,1,226,1,1046
"Surgery, Plastic",0.21606118546845124,1,226,1,1046
Behavior Control,0.21606118546845124,1,226,1,1046
Spermatids,0.21606118546845124,1,226,1,1046
Spinal Cord Diseases,0.21606118546845124,1,226,1,1046
Bone Neoplasms,0.21606118546845124,1,226,1,1046
Cannabis,0.21606118546845124,1,226,1,1046
Rheumatic Diseases,0.21606118546845124,1,226,1,1046
Cyanoacrylates,0.21606118546845124,1,226,1,1046
Heart Murmurs,0.21606118546845124,1,226,1,1046
Intersectoral Collaboration,0.21606118546845124,1,226,1,1046
Dialysis Solutions,0.21606118546845124,1,226,1,1046
Topiramate,0.21606118546845124,1,226,1,1046
Supraglottitis,0.21606118546845124,1,226,1,1046
Wearable Electronic Devices,0.21606118546845124,1,226,1,1046
Intestinal Obstruction,0.21606118546845124,1,226,1,1046
Ibuprofen,0.21606118546845124,1,226,1,1046
Anterior Eye Segment,0.21606118546845124,1,226,1,1046
Hygiene,0.21606118546845124,1,226,1,1046
Pericardiocentesis,0.21606118546845124,1,226,1,1046
"Administration, Mucosal",0.21606118546845124,1,226,1,1046
"Evoked Potentials, Auditory",0.21606118546845124,1,226,1,1046
Bioethics,0.21606118546845124,1,226,1,1046
Bariatric Surgery,0.21606118546845124,1,226,1,1046
Fistula,0.21606118546845124,1,226,1,1046
Biomedical and Dental Materials,0.21606118546845124,1,226,1,1046
Balloon Valvuloplasty,0.21606118546845124,1,226,1,1046
Cognitive Neuroscience,0.21606118546845124,1,226,1,1046
Computer Graphics,0.21606118546845124,1,226,1,1046
"Genitalia, Male",0.21606118546845124,1,226,1,1046
Metoclopramide,0.21606118546845124,1,226,1,1046
Botulinum Toxins,0.21606118546845124,1,226,1,1046
Humeral Fractures,0.21606118546845124,1,226,1,1046
Conservative Treatment,0.21606118546845124,1,226,1,1046
Organic Anion Transporters,0.21606118546845124,1,226,1,1046
Pericardial Effusion,0.21606118546845124,1,226,1,1046
Evoked Potentials,0.21606118546845124,1,226,1,1046
Cerebral Veins,0.21606118546845124,1,226,1,1046
Radiation Exposure,0.21606118546845124,1,226,1,1046
Paresis,0.21606118546845124,1,226,1,1046
"Intubation, Intratracheal",0.21606118546845124,1,226,1,1046
Forced Expiratory Flow Rates,0.21606118546845124,1,226,1,1046
Oscillometry,0.21606118546845124,1,226,1,1046
Cecum,0.21606118546845124,1,226,1,1046
"Thyroid Cancer, Papillary",0.21606118546845124,1,226,1,1046
Medical Marijuana,0.21606118546845124,1,226,1,1046
Sulfur Group Transferases,0.21606118546845124,1,226,1,1046
Interferon Regulatory Factors,0.21606118546845124,1,226,1,1046
Anophthalmos,0.21606118546845124,1,226,1,1046
Feedback,0.21606118546845124,1,226,1,1046
Cysts,0.21606118546845124,1,226,1,1046
"Hair Cells, Auditory",0.21606118546845124,1,226,1,1046
Athletic Tape,0.21606118546845124,1,226,1,1046
Toes,0.21606118546845124,1,226,1,1046
Conflict of Interest,0.21606118546845124,1,226,1,1046
Spermatogenesis,0.21606118546845124,1,226,1,1046
Down Syndrome,0.21606118546845124,1,226,1,1046
Natural Childbirth,0.21606118546845124,1,226,1,1046
Directive Counseling,0.21606118546845124,1,226,1,1046
Glioblastoma,0.21606118546845124,1,226,1,1046
Interferon-beta,0.21606118546845124,1,226,1,1046
"Administration, Intravenous",0.21606118546845124,1,226,1,1046
"Hypertension, Pulmonary",0.21606118546845124,1,226,1,1046
Laryngoscopy,0.21606118546845124,1,226,1,1046
Respiratory System Abnormalities,0.21606118546845124,1,226,1,1046
Retinal Bipolar Cells,0.21606118546845124,1,226,1,1046
Analgesia,0.21606118546845124,1,226,1,1046
Chromatin,0.21606118546845124,1,226,1,1046
Osteosarcoma,0.21606118546845124,1,226,1,1046
Opiate Alkaloids,0.21606118546845124,1,226,1,1046
Meningeal Neoplasms,0.21606118546845124,1,226,1,1046
Diagnostic Equipment,0.21606118546845124,1,226,1,1046
Patient Preference,0.21606118546845124,1,226,1,1046
Mesencephalon,0.21606118546845124,1,226,1,1046
Gastrointestinal Neoplasms,0.21606118546845124,1,226,1,1046
Epiglottitis,0.21606118546845124,1,226,1,1046
Neurology,0.21606118546845124,1,226,1,1046
Ambulatory Care,0.21606118546845124,1,226,1,1046
Retinal Neurons,0.21606118546845124,1,226,1,1046
Mitochondrial Diseases,0.21606118546845124,1,226,1,1046
Drug Utilization,0.21606118546845124,1,226,1,1046
"Hair Cells, Auditory, Inner",0.21606118546845124,1,226,1,1046
Gene Transfer Techniques,0.21606118546845124,1,226,1,1046
"Eye Infections, Viral",0.21606118546845124,1,226,1,1046
Masks,0.21606118546845124,1,226,1,1046
Granulomatosis with Polyangiitis,0.21606118546845124,1,226,1,1046
Wet Macular Degeneration,0.21606118546845124,1,226,1,1046
Varicella Zoster Virus Infection,0.21606118546845124,1,226,1,1046
Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,0.21606118546845124,1,226,1,1046
Muscle Stretching Exercises,0.21606118546845124,1,226,1,1046
Benzothiazoles,0.21606118546845124,1,226,1,1046
Auscultation,0.21606118546845124,1,226,1,1046
Foot,0.21606118546845124,1,226,1,1046
Ergot Alkaloids,0.21606118546845124,1,226,1,1046
Albuterol,0.21606118546845124,1,226,1,1046
"Palate, Hard",0.21606118546845124,1,226,1,1046
Paroxetine,0.21606118546845124,1,226,1,1046
INDEL Mutation,0.21606118546845124,1,226,1,1046
Aortic Valve Insufficiency,0.21606118546845124,1,226,1,1046
Free Tissue Flaps,0.21606118546845124,1,226,1,1046
"Models, Structural",0.21606118546845124,1,226,1,1046
Thigh,0.21606118546845124,1,226,1,1046
Nonlinear Dynamics,0.21606118546845124,1,226,1,1046
"Vestibule, Labyrinth",0.21606118546845124,1,226,1,1046
Hepatitis C,0.21606118546845124,1,226,1,1046
Ophthalmologic Surgical Procedures,0.21606118546845124,1,226,1,1046
Sarcoma,0.21606118546845124,1,226,1,1046
"Transduction, Genetic",0.21606118546845124,1,226,1,1046
Paraparesis,0.21606118546845124,1,226,1,1046
Laryngitis,0.21606118546845124,1,226,1,1046
Ostomy,0.21606118546845124,1,226,1,1046
Integrases,0.21606118546845124,1,226,1,1046
Patient-Centered Care,0.21606118546845124,1,226,1,1046
Duloxetine Hydrochloride,0.21606118546845124,1,226,1,1046
Anion Transport Proteins,0.21606118546845124,1,226,1,1046
Burns,0.21606118546845124,1,226,1,1046
"Neurons, Afferent",0.21606118546845124,1,226,1,1046
Hydroxylamines,0.21606118546845124,1,226,1,1046
Decision Trees,0.21606118546845124,1,226,1,1046
Chemical and Drug Induced Liver Injury,0.21606118546845124,1,226,1,1046
"Gait Disorders, Neurologic",0.21606118546845124,1,226,1,1046
Chordata,0.21674444761535927,222,226,1026,1046
Urologic Diseases,0.21674444761535927,4,226,20,1046
Vertebrates,0.21674444761535927,222,226,1026,1046
Longitudinal Studies,0.21674444761535927,4,226,20,1046
Neurobehavioral Manifestations,0.22090504415259682,4,226,17,1046
Clinical Trials as Topic,0.22090504415259682,4,226,17,1046
"Wounds, Nonpenetrating",0.22115119022759272,3,226,10,1046
Vital Signs,0.22115119022759272,3,226,10,1046
Central Nervous System Neoplasms,0.22115119022759272,3,226,10,1046
Respiratory System,0.22115119022759272,3,226,10,1046
Pilot Projects,0.22121396044817287,4,226,19,1046
Heart Valve Diseases,0.22523792307156676,2,226,5,1046
Cluster Analysis,0.22523792307156676,2,226,5,1046
"Analgesics, Non-Narcotic",0.22523792307156676,2,226,5,1046
Gene Frequency,0.22523792307156676,2,226,5,1046
Acute Kidney Injury,0.22523792307156676,2,226,5,1046
Stroke,0.22523792307156676,2,226,5,1046
Patient Readmission,0.22523792307156676,2,226,5,1046
Rehabilitation,0.22523792307156676,2,226,5,1046
Angiogenesis Inhibitors,0.22523792307156676,2,226,5,1046
Endoscopy,0.22523792307156676,2,226,5,1046
Athletic Injuries,0.22523792307156676,2,226,5,1046
Clinical Decision-Making,0.22523792307156676,2,226,5,1046
Patient Education as Topic,0.22523792307156676,2,226,5,1046
Translational Medical Research,0.22523792307156676,2,226,5,1046
Health Care Surveys,0.22523792307156676,2,226,5,1046
Mathematical Concepts,0.22523792307156676,2,226,5,1046
"Anti-Inflammatory Agents, Non-Steroidal",0.22523792307156676,2,226,5,1046
Cross Infection,0.22523792307156676,2,226,5,1046
Telecommunications,0.22523792307156676,2,226,5,1046
Policy,0.22523792307156676,2,226,5,1046
Costs and Cost Analysis,0.22840534353766256,3,226,17,1046
Biological Phenomena,0.22840534353766256,3,226,17,1046
Anti-Bacterial Agents,0.22934084750568112,2,226,14,1046
Carboxylic Acids,0.23862875171396739,3,226,11,1046
"Intensive Care Units, Pediatric",0.23862875171396739,3,226,11,1046
Residence Characteristics,0.23862875171396739,3,226,11,1046
"Monitoring, Physiologic",0.23862875171396739,3,226,11,1046
Ethnic Groups,0.23862875171396739,3,226,11,1046
Research Design,0.23862875171396739,3,226,11,1046
"Demyelinating Autoimmune Diseases, CNS",0.23862875171396739,3,226,11,1046
Lymphatic Diseases,0.23862875171396739,3,226,11,1046
Depression,0.23862875171396739,3,226,11,1046
Joint Diseases,0.2413926672220349,1,226,10,1046
Neuropsychological Tests,0.2413926672220349,1,226,10,1046
Sexually Transmitted Diseases,0.2413926672220349,1,226,10,1046
Rural Population,0.2413926672220349,1,226,10,1046
Immunologic Tests,0.2413926672220349,1,226,10,1046
Cognition,0.2413926672220349,1,226,10,1046
Clinical Chemistry Tests,0.2413926672220349,1,226,10,1046
Neurons,0.2413926672220349,1,226,10,1046
Immunologic Factors,0.2413926672220349,1,226,10,1046
Hospital Units,0.24889704380461516,3,226,15,1046
Intensive Care Units,0.24889704380461516,3,226,15,1046
Adrenal Cortex Hormones,0.24889704380461516,3,226,15,1046
Serum Globulins,0.24889704380461516,3,226,15,1046
Hemorrhage,0.24889704380461516,3,226,15,1046
Sex Factors,0.24961873931303255,3,226,12,1046
Methods,0.24961873931303255,3,226,12,1046
Feeding Behavior,0.24961873931303255,3,226,12,1046
Controlled Clinical Trials as Topic,0.24961873931303255,3,226,12,1046
Social Behavior,0.24961873931303255,3,226,12,1046
Randomized Controlled Trials as Topic,0.24961873931303255,3,226,12,1046
Developmental Disabilities,0.24961873931303255,3,226,12,1046
Glucose Metabolism Disorders,0.24961873931303255,3,226,12,1046
Intestinal Diseases,0.24961873931303255,3,226,12,1046
Health Services Accessibility,0.24961873931303255,3,226,12,1046
Heart,0.2510073411337121,2,226,13,1046
Cardiovascular Agents,0.2510073411337121,2,226,13,1046
Qualitative Research,0.2510073411337121,2,226,13,1046
Empirical Research,0.2510073411337121,2,226,13,1046
Nutritional Status,0.2545193780055418,3,226,13,1046
Odds Ratio,0.2545193780055418,3,226,13,1046
"Dose-Response Relationship, Drug",0.2545193780055418,3,226,13,1046
Motivation,0.2545193780055418,3,226,13,1046
Beverages,0.2651576126073055,2,226,6,1046
"Drug Therapy, Combination",0.2651576126073055,2,226,6,1046
Whole Exome Sequencing,0.2651576126073055,2,226,6,1046
Mutagenesis,0.2651576126073055,2,226,6,1046
Communicable Disease Control,0.2651576126073055,2,226,6,1046
Hydrocortisone,0.2651576126073055,2,226,6,1046
17-Hydroxycorticosteroids,0.2651576126073055,2,226,6,1046
"Monitoring, Intraoperative",0.2651576126073055,2,226,6,1046
Intention,0.2651576126073055,2,226,6,1046
Interferons,0.2651576126073055,2,226,6,1046
Tissues,0.27112606819134294,2,226,12,1046
Multivariate Analysis,0.27112606819134294,2,226,12,1046
Disease Progression,0.27112606819134294,2,226,12,1046
Substance-Related Disorders,0.27112606819134294,2,226,12,1046
"Diagnostic Techniques, Obstetrical and Gynecological",0.27112606819134294,2,226,12,1046
"Infant, Low Birth Weight",0.27112606819134294,2,226,12,1046
Animals,0.27112606819134294,224,226,1034,1046
Asian Continental Ancestry Group,0.27745292650040043,1,226,9,1046
Pedigree,0.27745292650040043,1,226,9,1046
Orthomyxoviridae Infections,0.27745292650040043,1,226,9,1046
Neonatal Screening,0.27745292650040043,1,226,9,1046
Fused-Ring Compounds,0.27745292650040043,1,226,9,1046
Blood Chemical Analysis,0.27745292650040043,1,226,9,1046
Arousal,0.27745292650040043,1,226,9,1046
Maternal Age,0.27745292650040043,1,226,9,1046
Herpesviridae Infections,0.27745292650040043,1,226,9,1046
Gene Expression,0.27745292650040043,1,226,9,1046
"Fatty Acids, Unsaturated",0.27745292650040043,1,226,9,1046
Steroids,0.27745292650040043,1,226,9,1046
Renal Replacement Therapy,0.27745292650040043,1,226,9,1046
Influenza Vaccines,0.27745292650040043,1,226,9,1046
"Influenza, Human",0.27745292650040043,1,226,9,1046
Herpesviridae,0.27745292650040043,1,226,9,1046
Parity,0.27745292650040043,1,226,9,1046
Blood Vessels,0.2883430749877106,2,226,11,1046
Oxidoreductases,0.2883430749877106,2,226,11,1046
Pharmaceutical Preparations,0.2883430749877106,2,226,11,1046
Protein Binding,0.2883430749877106,2,226,11,1046
Heart Function Tests,0.2883430749877106,2,226,11,1046
Prenatal Diagnosis,0.2883430749877106,2,226,11,1046
"Aged, 80 and over",0.2883430749877106,2,226,11,1046
Predictive Value of Tests,0.2883430749877106,2,226,11,1046
Child Behavior,0.2883430749877106,2,226,11,1046
Algorithms,0.2883430749877106,2,226,11,1046
Urinary Tract,0.2883430749877106,2,226,11,1046
Kidney,0.2883430749877106,2,226,11,1046
Healthcare Disparities,0.2912654390794095,2,226,7,1046
Brain Neoplasms,0.2912654390794095,2,226,7,1046
Adrenergic Agents,0.2912654390794095,2,226,7,1046
Eukaryota,0.2912654390794095,224,226,1039,1046
Neurocognitive Disorders,0.2912654390794095,2,226,7,1046
Public Policy,0.2912654390794095,2,226,7,1046
Hydroxycorticosteroids,0.2912654390794095,2,226,7,1046
Liver Diseases,0.2912654390794095,2,226,7,1046
Social Control Policies,0.2912654390794095,2,226,7,1046
Parenteral Nutrition,0.2912654390794095,2,226,7,1046
American Native Continental Ancestry Group,0.2912654390794095,2,226,7,1046
Tauopathies,0.2912654390794095,2,226,7,1046
Publications,0.2912654390794095,2,226,7,1046
"Promoter Regions, Genetic",0.2912654390794095,2,226,7,1046
Evaluation Studies as Topic,0.2912654390794095,2,226,7,1046
Leukemia,0.2912654390794095,2,226,7,1046
Alzheimer Disease,0.2912654390794095,2,226,7,1046
"Acids, Carbocyclic",0.2912654390794095,2,226,7,1046
Echocardiography,0.30099763000284524,2,226,10,1046
Endocrine System,0.30099763000284524,2,226,10,1046
"Regulatory Sequences, Nucleic Acid",0.30099763000284524,2,226,10,1046
Sulfur Compounds,0.30099763000284524,2,226,10,1046
Endocrine Glands,0.30099763000284524,2,226,10,1046
Ultrasonography,0.3046279536088787,2,226,8,1046
Informatics,0.3046279536088787,2,226,8,1046
Neurodegenerative Diseases,0.3046279536088787,2,226,8,1046
Public Health Practice,0.3046279536088787,2,226,8,1046
Memory,0.3046279536088787,2,226,8,1046
Medical Informatics,0.3046279536088787,2,226,8,1046
Interviews as Topic,0.3046279536088787,2,226,8,1046
"Head Injuries, Closed",0.307143461070554,2,226,9,1046
Neoplasms by Site,0.307143461070554,2,226,9,1046
Patient Selection,0.307143461070554,2,226,9,1046
Brain Concussion,0.307143461070554,2,226,9,1046
Gastrointestinal Tract,0.307143461070554,2,226,9,1046
Double-Blind Method,0.3148789260160346,1,226,8,1046
Gene Expression Profiling,0.3148789260160346,1,226,8,1046
Toll-Like Receptors,0.3148789260160346,1,226,8,1046
"Diagnostic Techniques, Respiratory System",0.3148789260160346,1,226,8,1046
"Sexually Transmitted Diseases, Viral",0.3148789260160346,1,226,8,1046
Respiratory Physiological Phenomena,0.3148789260160346,1,226,8,1046
Patient Discharge,0.3148789260160346,1,226,8,1046
Kaplan-Meier Estimate,0.3148789260160346,1,226,8,1046
Piperidines,0.3148789260160346,1,226,8,1046
Oncogene Proteins,0.3148789260160346,1,226,8,1046
"Receptors, Cytoplasmic and Nuclear",0.3148789260160346,1,226,8,1046
"Receptors, Pattern Recognition",0.3148789260160346,1,226,8,1046
"Abnormalities, Multiple",0.3148789260160346,1,226,8,1046
Ecological and Environmental Phenomena,0.3148789260160346,1,226,8,1046
HIV Infections,0.3148789260160346,1,226,8,1046
"Heterocyclic Compounds, 3-Ring",0.3148789260160346,1,226,8,1046
Esterases,0.3148789260160346,1,226,8,1046
Astrocytoma,0.33908166906053594,1,226,2,1046
Lymphopenia,0.33908166906053594,1,226,2,1046
Textbooks as Topic,0.33908166906053594,1,226,2,1046
Hand,0.33908166906053594,1,226,2,1046
Marijuana Smoking,0.33908166906053594,1,226,2,1046
Physician-Patient Relations,0.33908166906053594,1,226,2,1046
Molecular Epidemiology,0.33908166906053594,1,226,2,1046
Noxae,0.33908166906053594,1,226,2,1046
Child Nutritional Physiological Phenomena,0.33908166906053594,1,226,2,1046
Nivolumab,0.33908166906053594,1,226,2,1046
Adenocarcinoma,0.33908166906053594,1,226,2,1046
Ethanol,0.33908166906053594,1,226,2,1046
International Classification of Diseases,0.33908166906053594,1,226,2,1046
GTP-Binding Proteins,0.33908166906053594,1,226,2,1046
Government Regulation,0.33908166906053594,1,226,2,1046
Positron-Emission Tomography,0.33908166906053594,1,226,2,1046
Waiting Lists,0.33908166906053594,1,226,2,1046
5-Hydroxytryptophan,0.33908166906053594,1,226,2,1046
User-Computer Interface,0.33908166906053594,1,226,2,1046
Climatic Processes,0.33908166906053594,1,226,2,1046
Homeostasis,0.33908166906053594,1,226,2,1046
Aniline Compounds,0.33908166906053594,1,226,2,1046
Appointments and Schedules,0.33908166906053594,1,226,2,1046
Occupational Exposure,0.33908166906053594,1,226,2,1046
African Continental Ancestry Group,0.33908166906053594,1,226,2,1046
Transcription Initiation Site,0.33908166906053594,1,226,2,1046
Patient Admission,0.33908166906053594,1,226,2,1046
Pregnadienetriols,0.33908166906053594,1,226,2,1046
Personal Satisfaction,0.33908166906053594,1,226,2,1046
Federal Government,0.33908166906053594,1,226,2,1046
Mouth,0.33908166906053594,1,226,2,1046
Autonomic Nervous System Diseases,0.33908166906053594,1,226,2,1046
Crowding,0.33908166906053594,1,226,2,1046
Rhizotomy,0.33908166906053594,1,226,2,1046
Spermatozoa,0.33908166906053594,1,226,2,1046
"Psychology, Educational",0.33908166906053594,1,226,2,1046
Maternal-Fetal Exchange,0.33908166906053594,1,226,2,1046
Professional-Family Relations,0.33908166906053594,1,226,2,1046
Facies,0.33908166906053594,1,226,2,1046
Naphthalenes,0.33908166906053594,1,226,2,1046
"Oncogene Proteins, Fusion",0.33908166906053594,1,226,2,1046
Alphaherpesvirinae,0.33908166906053594,1,226,2,1046
Chromatin Immunoprecipitation,0.33908166906053594,1,226,2,1046
Breast Diseases,0.33908166906053594,1,226,2,1046
Deoxyribonuclease I,0.33908166906053594,1,226,2,1046
Retina,0.33908166906053594,1,226,2,1046
"Dosage Compensation, Genetic",0.33908166906053594,1,226,2,1046
Actinomycetales Infections,0.33908166906053594,1,226,2,1046
Weight Loss,0.33908166906053594,1,226,2,1046
Gene Duplication,0.33908166906053594,1,226,2,1046
Maxillofacial Abnormalities,0.33908166906053594,1,226,2,1046
Toll-Like Receptor 4,0.33908166906053594,1,226,2,1046
Child Health Services,0.33908166906053594,1,226,2,1046
Child Mortality,0.33908166906053594,1,226,2,1046
Jaw Abnormalities,0.33908166906053594,1,226,2,1046
Patient Transfer,0.33908166906053594,1,226,2,1046
Dioxygenases,0.33908166906053594,1,226,2,1046
Waist Circumference,0.33908166906053594,1,226,2,1046
Histiocytosis,0.33908166906053594,1,226,2,1046
Carbidopa,0.33908166906053594,1,226,2,1046
Radiofrequency Ablation,0.33908166906053594,1,226,2,1046
X Chromosome Inactivation,0.33908166906053594,1,226,2,1046
Incidental Findings,0.33908166906053594,1,226,2,1046
Meals,0.33908166906053594,1,226,2,1046
Periodicals as Topic,0.33908166906053594,1,226,2,1046
Healthy Volunteers,0.33908166906053594,1,226,2,1046
Fathers,0.33908166906053594,1,226,2,1046
Social Learning,0.33908166906053594,1,226,2,1046
Eye Abnormalities,0.33908166906053594,1,226,2,1046
Headache,0.33908166906053594,1,226,2,1046
Self Efficacy,0.33908166906053594,1,226,2,1046
Anthropology,0.33908166906053594,1,226,2,1046
Deep Sedation,0.33908166906053594,1,226,2,1046
Wound Closure Techniques,0.33908166906053594,1,226,2,1046
Cell-Free Nucleic Acids,0.33908166906053594,1,226,2,1046
Aspirin,0.33908166906053594,1,226,2,1046
"Pattern Recognition, Automated",0.33908166906053594,1,226,2,1046
Occupational Health,0.33908166906053594,1,226,2,1046
Fertility,0.33908166906053594,1,226,2,1046
Cardiopulmonary Resuscitation,0.33908166906053594,1,226,2,1046
Lanthanoid Series Elements,0.33908166906053594,1,226,2,1046
Salicylates,0.33908166906053594,1,226,2,1046
Cranial Nerve Diseases,0.33908166906053594,1,226,2,1046
"Disease Transmission, Infectious",0.33908166906053594,1,226,2,1046
Ventricular Outflow Obstruction,0.33908166906053594,1,226,2,1046
Ependymoma,0.33908166906053594,1,226,2,1046
Serial Publications,0.33908166906053594,1,226,2,1046
Mycobacterium Infections,0.33908166906053594,1,226,2,1046
Wound Healing,0.33908166906053594,1,226,2,1046
Infant Nutritional Physiological Phenomena,0.33908166906053594,1,226,2,1046
"RNA, Long Noncoding",0.33908166906053594,1,226,2,1046
Selection Bias,0.33908166906053594,1,226,2,1046
Activities of Daily Living,0.33908166906053594,1,226,2,1046
Molecular Targeted Therapy,0.33908166906053594,1,226,2,1046
Amnion,0.33908166906053594,1,226,2,1046
Drug Combinations,0.33908166906053594,1,226,2,1046
Publishing,0.33908166906053594,1,226,2,1046
Statistical Distributions,0.33908166906053594,1,226,2,1046
Radionuclide Imaging,0.33908166906053594,1,226,2,1046
Tuberculosis,0.33908166906053594,1,226,2,1046
Hydroxybenzoates,0.33908166906053594,1,226,2,1046
Minimally Invasive Surgical Procedures,0.33908166906053594,1,226,2,1046
"Models, Genetic",0.33908166906053594,1,226,2,1046
Mitral Valve,0.33908166906053594,1,226,2,1046
Kidney Function Tests,0.33908166906053594,1,226,2,1046
Mental Recall,0.33908166906053594,1,226,2,1046
Optic Nerve Diseases,0.33908166906053594,1,226,2,1046
Stomatognathic System,0.33908166906053594,1,226,2,1046
Nutrition Surveys,0.33908166906053594,1,226,2,1046
Primary Dysautonomias,0.33908166906053594,1,226,2,1046
Glatiramer Acetate,0.33908166906053594,1,226,2,1046
Necrosis,0.33908166906053594,1,226,2,1046
"Protein Structure, Tertiary",0.33908166906053594,1,226,2,1046
"Diagnostic Techniques, Urological",0.33908166906053594,1,226,2,1046
Peripheral Nervous System Diseases,0.33908166906053594,1,226,2,1046
"Receptors, Dopamine D2",0.33908166906053594,1,226,2,1046
Cleft Palate,0.33908166906053594,1,226,2,1046
Lower Gastrointestinal Tract,0.33908166906053594,1,226,2,1046
Sulfonamides,0.33908166906053594,1,226,2,1046
Regeneration,0.33908166906053594,1,226,2,1046
Physical Therapy Modalities,0.33908166906053594,1,226,2,1046
"Pain, Postoperative",0.33908166906053594,1,226,2,1046
Radiofrequency Therapy,0.33908166906053594,1,226,2,1046
United States Food and Drug Administration,0.33908166906053594,1,226,2,1046
Neural Networks (Computer),0.33908166906053594,1,226,2,1046
Nose,0.33908166906053594,1,226,2,1046
Penetrance,0.33908166906053594,1,226,2,1046
"Antibiotics, Antineoplastic",0.33908166906053594,1,226,2,1046
Gadolinium,0.33908166906053594,1,226,2,1046
Injury Severity Score,0.33908166906053594,1,226,2,1046
Catheter Ablation,0.33908166906053594,1,226,2,1046
Respiratory System Agents,0.33908166906053594,1,226,2,1046
Drug Prescriptions,0.33908166906053594,1,226,2,1046
Phenothiazines,0.33908166906053594,1,226,2,1046
Immunoenzyme Techniques,0.33908166906053594,1,226,2,1046
Interprofessional Relations,0.33908166906053594,1,226,2,1046
Body Temperature,0.33908166906053594,1,226,2,1046
"Metals, Rare Earth",0.33908166906053594,1,226,2,1046
Scoliosis,0.33908166906053594,1,226,2,1046
"Legislation, Drug",0.33908166906053594,1,226,2,1046
High-Throughput Screening Assays,0.33908166906053594,1,226,2,1046
Bacterial Toxins,0.33908166906053594,1,226,2,1046
Radiation,0.33908166906053594,1,226,2,1046
"Hernias, Diaphragmatic, Congenital",0.33908166906053594,1,226,2,1046
Self-Injurious Behavior,0.33908166906053594,1,226,2,1046
Spatial Behavior,0.33908166906053594,1,226,2,1046
Peritoneal Diseases,0.33908166906053594,1,226,2,1046
Consumer Behavior,0.33908166906053594,1,226,2,1046
"Extraction, Obstetrical",0.33908166906053594,1,226,2,1046
Denervation,0.33908166906053594,1,226,2,1046
Hypnotics and Sedatives,0.33908166906053594,1,226,2,1046
Renal Dialysis,0.33908166906053594,1,226,2,1046
Patient Outcome Assessment,0.33908166906053594,1,226,2,1046
Neoplasm Metastasis,0.33908166906053594,1,226,2,1046
"Monitoring, Ambulatory",0.33908166906053594,1,226,2,1046
Syringes,0.33908166906053594,1,226,2,1046
Positron Emission Tomography Computed Tomography,0.33908166906053594,1,226,2,1046
Fluoxetine,0.33908166906053594,1,226,2,1046
Problem Solving,0.33908166906053594,1,226,2,1046
Hydrazines,0.33908166906053594,1,226,2,1046
"RNA, Untranslated",0.33908166906053594,1,226,2,1046
Nerve Growth Factors,0.35167604866624996,1,226,7,1046
Dibenzazepines,0.35167604866624996,1,226,7,1046
Medical Informatics Applications,0.35167604866624996,1,226,7,1046
Group Processes,0.35167604866624996,1,226,7,1046
Clinical Protocols,0.35167604866624996,1,226,7,1046
Physicians,0.35167604866624996,1,226,7,1046
Comprehensive Health Care,0.35167604866624996,1,226,7,1046
Language,0.35167604866624996,1,226,7,1046
